category,instance_token,x,y,z,width,length,height,visibility,num_lidar_pts,num_radar_pts
human.pedestrian.adult,6dd2cbf4c24b4caeb625035869bca7b5,373.256,1130.419,0.8,0.621,0.669,1.642,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,48d58b69b40149aeb2e64aa4b1a9192f,378.888,1153.348,0.865,0.775,0.769,1.711,visibility of whole object is between 40 and 60%,2,0
vehicle.car,bd26c2cdb22d4bb1834e808c89128898,353.794,1132.355,0.602,2.011,4.633,1.573,visibility of whole object is between 60 and 80%,5,0
human.pedestrian.adult,6e04e175f20d402f8cbbdf701fe99d92,376.13,1158.507,0.938,0.752,0.819,1.637,visibility of whole object is between 80 and 100%,1,0
movable_object.trafficcone,4a5a657f59914516bade8551072e5ab0,410.066,1196.767,0.656,0.427,0.359,0.794,visibility of whole object is between 80 and 100%,1,0
vehicle.bicycle,f4b2632a2f9947da9f7959a3bd0e322c,372.664,1129.247,0.672,0.689,1.77,1.709,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,c08be936e0394352b11760ede982d6fd,378.657,1151.026,0.833,0.661,0.703,1.839,visibility of whole object is between 40 and 60%,1,0
vehicle.car,085fb7c411914888907f7198e998a951,409.132,1201.516,1.01,1.837,4.32,1.631,visibility of whole object is between 80 and 100%,45,6
human.pedestrian.adult,bbd6c47a20e34276bc6f2cfbc6ba6205,396.335,1122.142,0.513,0.648,0.709,1.609,visibility of whole object is between 80 and 100%,1,0
movable_object.barrier,03e81d6b45c34d56bc1a886919722f7f,394.842,1158.711,0.487,1.977,0.703,1.149,visibility of whole object is between 80 and 100%,4,2
movable_object.barrier,3c7d5216d6bd4e1ba7a982c7274214b1,408.524,1190.723,0.733,1.91,0.555,1.055,visibility of whole object is between 80 and 100%,77,0
human.pedestrian.adult,91f0f127e46a49829700247cf534d9fd,417.399,1193.55,0.994,1.019,0.915,1.67,visibility of whole object is between 80 and 100%,7,3
human.pedestrian.adult,3843d35144d84c02b387678f9bc7f2ed,423.6,1167.637,1.109,0.934,0.891,1.835,visibility of whole object is between 40 and 60%,6,0
human.pedestrian.adult,f138c230c29a4cb3b7b50155babe4e90,356.068,1144.504,0.82,0.8,0.908,1.835,visibility of whole object is between 80 and 100%,1,0
human.pedestrian.adult,85d771dc8b2049fc9155b376a73b2121,431.605,1172.942,1.099,0.872,0.903,1.719,visibility of whole object is between 80 and 100%,8,0
movable_object.barrier,be2c3211bef04f5b8d422ced129735d3,394.05,1156.846,0.491,1.964,0.694,1.131,visibility of whole object is between 80 and 100%,2,1
vehicle.car,bc38961ca0ac4b14ab90e547ba79fbb6,393.357,1149.173,0.741,1.708,4.01,1.631,visibility of whole object is between 80 and 100%,4,2
human.pedestrian.adult,81714918a9f54bda9e2b52dd7ce362e5,371.763,1129.172,0.642,0.79,0.741,1.725,visibility of whole object is between 40 and 60%,1,0
vehicle.truck,e91afa15647c4c4994f19aeb302c7179,409.989,1164.099,1.623,2.877,10.201,3.595,visibility of whole object is between 80 and 100%,495,13
vehicle.car,56a71c208ac6472f90b6a82529a6ce61,392.077,1104.169,1.034,2.135,4.956,2.17,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,03d01c950f044575b69137f069345db0,391.361,1119.695,1.013,0.767,0.951,1.835,visibility of whole object is between 0 and 40%,1,0
movable_object.barrier,8705ebefeb7746468d837fb138a1a121,387.52,1143.568,0.508,1.967,0.704,0.962,visibility of whole object is between 80 and 100%,3,2
movable_object.barrier,16dc951205cb4f8299f5915313436d69,392.526,1153.183,0.47,2.06,0.759,1.1,visibility of whole object is between 80 and 100%,3,1
movable_object.barrier,038a951ededf4efeb34a4ab28508d9dc,396.227,1164.778,0.428,1.993,0.744,1.245,visibility of whole object is between 0 and 40%,2,1
movable_object.trafficcone,2ce122b054384340a99b146634f3c4da,401.269,1173.484,0.482,0.476,0.461,0.72,visibility of whole object is between 80 and 100%,8,0
movable_object.barrier,100427ca2fab4537b068582d5525495a,399.012,1167.878,0.547,1.969,0.716,1.092,visibility of whole object is between 80 and 100%,19,2
vehicle.bus.rigid,cfd5f1ab81ff4f81b8dbebf4955563d6,421.971,1233.295,2.351,2.909,6.908,3.558,visibility of whole object is between 40 and 60%,3,2
human.pedestrian.adult,4c8ffcdaddb44fc0b4d42faeae50f083,438.348,1171.033,1.096,0.803,0.87,1.78,visibility of whole object is between 80 and 100%,5,0
human.pedestrian.adult,d16b36f8fa1045779f71dd1bbe0c0dbb,382.736,1209.839,1.88,0.842,0.884,1.749,visibility of whole object is between 80 and 100%,3,0
movable_object.barrier,3b54d4dd46f24f91a36799f2d0ed801e,386.807,1141.706,0.542,1.99,0.726,0.921,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,221dd725c6654412a04c71ced8ad6d03,410.519,1166.187,2.295,0.708,0.863,1.616,visibility of whole object is between 0 and 40%,0,0
