category,instance_token,x,y,z,width,length,height,visibility,num_lidar_pts,num_radar_pts
human.pedestrian.adult,ab8d210d019b44abae3c4e0eee6ce8ba,637.141,1636.252,-0.235,0.621,0.647,1.778,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,3b19bb63d0924f4da3034819357d6c8b,612.719,1632.142,0.491,0.688,0.944,1.904,visibility of whole object is between 80 and 100%,7,1
human.pedestrian.adult,68a40df2846e4298af0417ea12721b5c,619.03,1648.941,0.413,0.578,0.613,1.752,visibility of whole object is between 80 and 100%,9,0
human.pedestrian.adult,ab2c41511fd1408197b718a4bda692ac,635.378,1674.253,-0.163,0.909,1.105,2.0,visibility of whole object is between 40 and 60%,4,0
human.pedestrian.adult,fa107c6dd0dc4d15b94b86cbf5b990c0,622.35,1624.018,-0.016,0.751,1.03,1.975,visibility of whole object is between 80 and 100%,5,0
vehicle.car,c283b224a9984736bff67a2f347866fa,635.447,1620.546,-0.326,2.001,4.734,1.481,visibility of whole object is between 80 and 100%,4,4
human.pedestrian.adult,f1010738ac3a4f56b936fa3a077571b5,598.103,1642.075,1.029,0.631,0.61,1.929,visibility of whole object is between 80 and 100%,68,0
human.pedestrian.adult,ead6a822f86c432481c0a9d2e4e4f827,622.249,1646.081,0.321,0.697,0.498,1.761,visibility of whole object is between 80 and 100%,9,0
human.pedestrian.adult,99fbf1b9bf474215a4e8ad562bb7e9b2,619.603,1624.655,0.071,0.665,0.736,1.89,visibility of whole object is between 80 and 100%,5,0
vehicle.car,200c440c0e9b4627ad4f3047227016a2,583.549,1656.391,1.267,1.871,4.488,1.515,visibility of whole object is between 80 and 100%,34,3
human.pedestrian.adult,6e71a9ceaf9a4974a1d07a2bd3544506,627.008,1617.877,-0.387,0.546,0.439,1.622,visibility of whole object is between 80 and 100%,2,0
human.pedestrian.adult,84d4bf98117e477dae6b51bf1bf5c8bb,640.863,1643.013,-0.285,0.64,0.395,1.807,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,26a4275a140b423bbcc951a5523ff719,602.152,1626.301,0.234,0.489,0.491,1.851,visibility of whole object is between 0 and 40%,3,0
human.pedestrian.adult,34aaf645a4174c6c8ff1874e6b33ccf6,631.815,1636.973,0.074,0.612,0.736,1.877,visibility of whole object is between 80 and 100%,4,1
vehicle.car,f3995943006145ca8a7bc375527f0aba,660.851,1604.404,-0.423,1.803,4.495,1.56,visibility of whole object is between 80 and 100%,1,0
human.pedestrian.adult,b3412553d70f40b3a1d19a0eb8529a08,650.737,1625.23,-0.3,0.585,0.681,1.711,visibility of whole object is between 80 and 100%,1,1
human.pedestrian.adult,cb86f2447f29425caf2e03d1ce092311,582.275,1668.561,1.473,0.908,1.109,2.211,visibility of whole object is between 60 and 80%,6,1
human.pedestrian.adult,ff7dc6c94901476e9b5f6198e3b2103f,597.73,1641.374,0.993,0.712,0.601,1.891,visibility of whole object is between 0 and 40%,9,0
human.pedestrian.adult,a67af729352f44cf8872524897cdbeab,636.797,1680.132,-0.198,0.755,1.235,2.083,visibility of whole object is between 0 and 40%,3,0
vehicle.car,8096b5ad8e334c2eabffca9cf3bbf08a,582.374,1660.997,1.38,2.037,4.958,1.639,visibility of whole object is between 80 and 100%,40,7
human.pedestrian.adult,e147a4c07e06487592fb5d6135c27a78,639.585,1606.675,-0.122,0.724,0.828,1.835,visibility of whole object is between 80 and 100%,1,1
human.pedestrian.adult,fef3f0c1f8f944e393315c5460263f17,631.807,1644.622,-0.459,0.738,0.783,1.52,visibility of whole object is between 0 and 40%,3,0
human.pedestrian.adult,bc6bc2b076b24fc79ed0517f5747c1cf,637.791,1636.674,-0.011,0.699,0.738,1.95,visibility of whole object is between 80 and 100%,3,0
