category,instance_token,x,y,z,width,length,height,visibility,num_lidar_pts,num_radar_pts
human.pedestrian.adult,19804c352c0a4767b61b8d0709d1db99,1292.802,1030.629,0.465,0.552,0.918,1.739,visibility of whole object is between 0 and 40%,5,0
human.pedestrian.adult,b61b72a5b5ad482e9bc94c203f75b8d4,1295.125,1032.757,0.415,0.677,0.834,1.658,visibility of whole object is between 80 and 100%,7,0
vehicle.bicycle,e2afd7eaa5c04cff9e59ca025e14249c,1308.987,1052.606,1.402,0.525,1.622,1.696,visibility of whole object is between 80 and 100%,26,0
human.pedestrian.adult,94e0b9b077774f18a74f53c5305a368d,1277.91,1072.348,0.912,0.547,0.718,1.325,visibility of whole object is between 60 and 80%,0,1
vehicle.car,d02ce7e39f534cb8b67ef101e32dbba7,1331.381,1089.942,3.241,2.016,4.752,1.758,visibility of whole object is between 60 and 80%,7,0
human.pedestrian.adult,21d4060224a946e5b66fd00749282e82,1298.941,1037.322,0.569,0.612,0.798,1.56,visibility of whole object is between 0 and 40%,3,1
movable_object.barrier,01a9922c1b7d457cb37880b8de3b7093,1328.425,1052.566,1.31,2.905,0.44,0.92,visibility of whole object is between 80 and 100%,21,0
movable_object.barrier,4604a50b23154c4b88b1e8e2e724b2bf,1331.484,1043.453,0.76,3.025,0.396,1.021,visibility of whole object is between 80 and 100%,25,0
movable_object.barrier,4c6a549e64dc4a0c9c1b75b2d615ae51,1337.482,1035.208,0.186,3.586,0.413,0.973,visibility of whole object is between 80 and 100%,24,0
movable_object.pushable_pullable,ecf7d2d3b0984505a33fc612ac350e6b,1299.491,1037.485,0.277,0.466,0.689,0.842,visibility of whole object is between 0 and 40%,1,0
vehicle.car,9c81acda9a6d4d15bd4e4a315a669d71,1334.824,1094.85,3.199,1.971,4.574,1.499,visibility of whole object is between 80 and 100%,5,0
movable_object.barrier,73b29b41f1c34b7987da26755270451b,1330.066,1046.334,0.969,3.034,0.395,0.94,visibility of whole object is between 80 and 100%,50,0
movable_object.barrier,de98ed230109473dae7d8d84af61208e,1351.279,1022.468,0.048,3.277,0.533,0.957,visibility of whole object is between 80 and 100%,2,4
vehicle.bus.rigid,2e19253f3bac458191cf64ff2b22ba2b,1269.546,1024.852,1.042,2.725,9.584,3.172,visibility of whole object is between 80 and 100%,8,1
vehicle.car,6ae762f1bc254d00bfb5ae9d66ffe376,1321.516,1033.801,1.008,1.979,4.782,1.954,visibility of whole object is between 80 and 100%,473,5
vehicle.car,fb0b1fa4a33a43ea9cc802ba14a40586,1257.186,1029.02,0.276,2.01,4.529,1.704,visibility of whole object is between 0 and 40%,2,0
vehicle.car,6a0d7a293cc34a84b9857a4fa38cd4a3,1283.16,1030.691,0.359,2.029,4.686,1.569,visibility of whole object is between 0 and 40%,0,2
vehicle.car,078a2d6a465b4200a2aab9ff75558fad,1340.58,1102.095,3.358,2.17,4.756,1.917,visibility of whole object is between 80 and 100%,1,0
human.pedestrian.adult,3993afe444aa4497b1fec37c89fcc369,1242.387,1096.596,1.312,0.673,0.639,1.821,visibility of whole object is between 40 and 60%,0,2
vehicle.trailer,75bbb97a65904d61b345fd500f3c6e2f,1325.647,1026.158,1.972,2.33,14.01,3.889,visibility of whole object is between 80 and 100%,335,9
movable_object.barrier,07bf3d834d04482e8f90e3756358250e,1342.828,1030.123,-0.019,3.277,0.535,0.909,visibility of whole object is between 80 and 100%,7,0
movable_object.barrier,c99728ce46204cd38f19f1aa6c60b162,1328.982,1049.561,1.089,3.062,0.416,0.979,visibility of whole object is between 80 and 100%,24,0
vehicle.truck,254ca291f1ee4223a0b1e392d4885fd2,1319.41,1031.387,1.821,2.339,6.418,3.964,visibility of whole object is between 80 and 100%,1389,1
vehicle.car,9e94bea2db384cf1ba7264e02920b1d8,1365.108,1014.952,0.254,2.02,4.59,1.687,visibility of whole object is between 80 and 100%,1,1
human.pedestrian.adult,340ccb3c0dcb492eaa032f0e4e3017bb,1298.993,1034.258,0.529,0.692,0.756,1.752,visibility of whole object is between 80 and 100%,13,1
